top # of balance,,spam_score,adr,balance@0516,note,
6620,spam_score:,80,GCNZXTIVHFL5AC37FZPXJTTHPICU3SUTMNYTL4M4DKOSG5PVS6EFQCMH,"1,484 ",,
13752,spam_score:,80,GAIUUFAYY76RHDKPOZY3BSOX52MGB4OQ6QA56ZMI2IBIPN2PH2B5E5WS,2 ,,
7,spam_score:,79,GCO5ZM22BWXJHJQE36V2YZYGD537QYA4A25BWIHIIG3HW3YOKS6FLM4A,"269,112 ",,
14218,spam_score:,79,GB24EDOH5KMLR2QHJBHMO4VCLEXKESCR3S6HVWYA4KVCUJB5KGP4TI53,1 ,,
9966,spam_score:,78,GDHDKZ5GCZI2QIF4D5TGXDARUB237DBBSOXGGVJFOA5TZR65HYAI2G5V,451 ,,
144,spam_score:,76,GBXS2VLVKKZ7ZVNTQ2WQAIIFIZXTIASF6ED6RYD7HPARFXO6XZIB4PSI,"43,803 ",,
3555,spam_score:,76,GCBKWNPCO2EYWSM4VWECKG7V675IGB3H72DTPYPERKGWMUZNSHXZXX5T,"3,407 ",,
7189,spam_score:,76,GBFXEO6H4ERYKIRO54JXA2JAL4QFTMOGBYJ2CYISCEHQOEMO3SQRX2WN,"1,201 ",,
10257,spam_score:,75,GCHSGU35ZESIEQ4VUZ6VS5HCPRF6XFGUI3NTOXXK5RC2WH2K2F237UCA,298 ,,
11325,spam_score:,75,GBWVN2RNW46D2SORU2KQ7MGAQDY6CS6I6BW5IRBKVWWP2NWLHS35VE47,40 ,,
12985,spam_score:,75,GBHKPVNIWOW5ACCFQY6MB3DGPKE2GFEGMFE7X43TKXXUX7W2YDWUTF4Q,2 ,,
13,spam_score:,74,GCW2NSWDRIPVR2IIHX45U52LHZBCNHJAOI2XMRJN66N64JRYK6YZNV75,"170,000 ",,
2968,spam_score:,74,GAMFUW3S3ZH3NXCQYYWAAESNYHJZHSGQNZ2S4SX6PHPCZPVRSTQEVQRU,"4,114 ",,
11518,spam_score:,74,GBBEZFFDOMDTCQOCEDWGCXEBQH4752BYEWMVEL4YIW5LRILUTM3ZWZHV,26 ,,
189,spam_score:,73,GAM3N4YWU6XYT4KEHIEHZLBUKUZ5PCP4KTVH2VTRYVVKUXFU5I7AKQNK,"36,399 ",,
1504,spam_score:,73,GBXISQC4KAWFFJEV4GO27DISFF4SBOQRWP5AGMBJVOFOLCSY5C6J6COQ,"7,591 ",,
6113,spam_score:,73,GASCDQPL5CCDOEGNHI7ULV5CQBBOGQE354TAIXXGHBDXXVYAKYTQETQ4,"1,689 ",,
6386,spam_score:,73,GCXDF3OWUHD24Z7DCSU5JUAC4RUFSA6Z4JD4IMLJO6F7LD2NBREICRIP,"1,551 ",,
11425,spam_score:,73,GCKHND47ZX3ZYGYG3OEBNWZ2NH7CYQNWYF66G4DLI24TQKI3C5FH7KLC,33 ,,
11828,spam_score:,73,GBHVXIOOQFRIEW3FMEFK5EAE4JFZBOE65GVFWPVVY3YN6LQKOLEWKVNV,12 ,,
11882,spam_score:,73,GBM65AYN4I2EYRXK4T6VVISDGN55MIZDF4KUQXO5OG7W5KXOEZ34BW42,11 ,,
8388,spam_score:,72,GDMJZTMYHRV4XAAQYGW4EFKUP2DBE2LQXGNH5W37PAIRIKGE4XMFMOHE,954 ,,
14501,spam_score:,72,GDPAMCLOM5HYU4L2NPAXHIUM5TYEN6RJIFVAUB5FPK356VBNE5FNP2WB,1 ,,
1759,spam_score:,71,GBVGY3EKYRL627IJCFRYJKVAYJZBHRQ3566KK224HPG74LYUQVSZ7AAY,"6,589 ",,
3360,spam_score:,71,GCYCFVCWLABXGRYIQGGVLLPVRQIQRKTYQI273OK5WMHYZQ5QPXWDR3LW,"3,611 ",,
5092,spam_score:,71,GC57P4FJYAXBDK5HJ2PEHE5GP5OIPRTX4XFPPPIATPLIRH7D7BTOF2BB,"2,202 ",,
903,spam_score:,70,GDKKEUL2V6IKUQXV723ZAY2KTI5A3FFSH3CD54F4IWTP2EEH4E7VC6XE,"11,102 ",,
9134,spam_score:,70,GBE6UJJXXZPVMCZQVDHS3WFV6FTEQMALFK23DGW4KIVKIXNBN72KB6AO,652 ,,
12190,spam_score:,70,GADIAO4YL2BZBZQD7WF36NKRGJITGUROZVKG3XAVBN6LIEW3PEBFE2V6,6 ,,
427,spam_score:,69,GBB2MBHBYSPOZHYKIS63NVQF2WA6IQCFGCCJE52FNOCISPIHEQPEAIBZ,"21,002 ",,
10372,spam_score:,69,GANIBIVU2CZ55MMEZYGAFAPQS3ULEVE7DLG2ZTLEBIFVSJLCUH5H7C7K,241 ,,
10831,spam_score:,69,GBJNVVPQA6SC6B7EFOP27OZVKSXMMJ4BPOKFNN7Y2KC3M56YDBNPPSVP,102 ,,
